GENE,ensg,iGC_gain_p_value,iGC_gain_fdr,iGC_loss_p_value,iGC_loss_fdr,iGC_gain_sample_prop,iGC_normal_sample_prop,iGC_loss_sample_prop,iGC_gain_log2FC,iGC_loss_log2FC,diggit_spearman.pval,spearman_cor,spearman_pv
UBE2C,ENSG00000175063,1.89E-19,3.71E-17,      NA,      NA,0.369,0.63102,0,1.1066,      NA,2.43E-38,0.586,6.35E-36
LRRC37A,ENSG00000176681,1.51E-09,3.71E-08,5.07E-25,2.31E-22,0.2674,0.5508,0.18182,0.7007,-1.0259,7.72E-39,0.589,2.34E-36
DNMT3B,ENSG00000088305,4.14E-09,9.22E-08,      NA,      NA,0.3155,0.68182,0.00267,1.37,-2.601,1.99E-38,0.587,5.35E-36
UGT2B17,ENSG00000197888,4.51E-01,5.32E-01,1.78E-05,7.00E-05,0.2968,0.37433,0.32888,-0.4518,-5.5699,3.09E-36,0.573,4.46E-34
RPL37,ENSG00000145592,3.06E-08,5.48E-07,1.22E-02,2.11E-02,0.1631,0.8262,0.0107,1.0478,-0.6305,3.06E-15,0.388,6.84E-15
ACTRT3,ENSG00000184378,7.65E-05,4.82E-04,      NA,      NA,0.1658,0.83422,0,1.0501,      NA,1.17E-12,0.353,1.98E-12
TMEM184A,ENSG00000164855,2.09E-10,6.24E-09,1.76E-02,2.92E-02,0.2166,0.77273,0.0107,1.0508,-0.834,9.47E-35,0.564,9.15E-33
FOXA2,ENSG00000125798,1.64E-11,6.20E-10,      NA,      NA,0.2647,0.72727,0.00802,1.165,0.0967,2.57E-33,0.554,1.71E-31
AGFG2,ENSG00000106351,6.97E-05,4.45E-04,      NA,      NA,0.1711,0.82086,0.00802,1.0491,-0.304,4.73E-14,0.373,9.25E-14
RECQL4,ENSG00000160957,4.05E-16,3.77E-14,      NA,      NA,0.3075,0.68449,0.00802,1.0277,-1.5927,2.82E-30,0.533,8.91E-29
LZTS3,ENSG00000088899,1.17E-11,4.58E-10,4.67E-04,1.22E-03,0.2273,0.76203,0.0107,1.2038,-0.3858,3.84E-22,0.464,2.33E-21
OR2A7,ENSG00000243896,2.14E-09,5.08E-08,6.21E-19,7.59E-17,0.246,0.55882,0.19519,0.9031,-1.1444,2.49E-31,0.54,1.01E-29
EXOC3-AS1,ENSG00000221990,5.86E-06,5.33E-05,7.78E-01,8.16E-01,0.1578,0.8262,0.01604,1.308,0.1806,7.21E-22,0.461,4.17E-21
SMOX,ENSG00000088826,3.21E-09,7.40E-08,5.35E-04,1.37E-03,0.2353,0.75401,0.0107,1.0069,-1.2071,1.30E-22,0.468,8.53E-22
TRIP13,ENSG00000071539,3.53E-08,6.22E-07,8.90E-07,5.09E-06,0.1658,0.7754,0.05882,1.2469,-0.4869,9.32E-19,0.429,3.30E-18
ECE2,ENSG00000145194,5.23E-08,8.83E-07,      NA,      NA,0.1524,0.84492,0.00267,1.0254,-0.3158,1.02E-15,0.394,2.41E-15
L3MBTL1,ENSG00000185513,5.15E-11,1.72E-09,      NA,      NA,0.3529,0.64706,0,1.0247,      NA,1.63E-21,0.458,8.88E-21
UFSP1,ENSG00000176125,1.81E-05,1.40E-04,      NA,      NA,0.1551,0.8369,0.00802,1.0619,-1.8627,9.93E-15,0.382,2.09E-14
HMGCS1,ENSG00000112972,5.73E-07,7.00E-06,      NA,      NA,0.1658,0.8262,0.00802,1.0545,-0.0112,1.27E-09,0.305,1.68E-09
SIGLEC14,ENSG00000254415,9.96E-03,2.71E-02,1.36E-22,3.20E-20,0.1578,0.5615,0.28075,0.3019,-1.8363,4.82E-27,0.507,7.44E-26
HLA-DRB5,ENSG00000198502,1.01E-13,5.84E-12,2.63E-07,1.73E-06,0.3743,0.44118,0.18449,2.072,0.0791,4.72E-26,0.499,5.95E-25
