cancer_type_abbr,gene1,gene2,all.high_others_diff,all.high_others_pval.log.rank.5y,all.high_others_log2.HR.5y,two_factors_pval.log.rank.5y,all.high_all.low_log2.HR.5y,high.low_all.low_log2.HR.5y,low.high_all.low_log2.HR.5y
STAD,C8B,ZNF883,1.54,9.94E-09,1.4,1.82E-05,1.646,0.672,0.974
STAD,C8orf22,CACNA2D3,1.51,1.35E-06,1.26,0.000614,1.3,0.519,0.781
STAD,C8orf22,CCDC136,1.54,1.41E-05,1.15,0.00909,1.072,0.541,0.531
STAD,C8orf22,CRYGC,1.56,0.000184,1.16,0.0162,1.002,0.518,0.484
STAD,C8orf22,CSMD2,1.54,5.70E-07,1.28,0.000882,1.265,0.509,0.755
STAD,C8orf22,CST4,1.5,1.49E-05,1.15,0.00547,1.126,0.54,0.586
STAD,C8orf22,CYP26A1,1.53,1.62E-05,1.18,0.00337,1.213,0.576,0.636
STAD,C8orf22,GABRQ,1.53,6.11E-06,1.17,0.00672,1.091,0.523,0.568
STAD,C8orf22,GH2,1.51,1.46E-05,1.33,0.000391,1.3,0.427,0.873
STAD,C8orf22,GLP2R,1.52,1.76E-06,1.24,0.00131,1.221,0.501,0.72
STAD,C8orf22,IGFBP1,1.56,1.13E-06,1.27,0.00116,1.271,0.543,0.727
STAD,C8orf22,INAFM2,1.64,3.19E-06,1.26,0.00577,1.149,0.568,0.581
STAD,C8orf22,IQCJ,1.68,1.09E-06,1.42,0.000776,1.277,0.501,0.776
STAD,C8orf22,ITIH2,1.56,1.91E-05,1.15,0.0116,1.051,0.551,0.5
STAD,C8orf22,LCE2B,1.51,0.00911,1.41,0.00928,1.461,0.49,0.971
STAD,C8orf22,LCE2D,1.51,0.00656,1.32,0.00826,1.347,0.502,0.845
STAD,C8orf22,MYH4,1.56,3.07E-06,1.21,0.00613,1.083,0.509,0.574
STAD,C8orf22,NAALAD2,1.51,1.75E-05,1.12,0.0142,0.98,0.501,0.479
STAD,C8orf22,NKAIN3,1.74,8.57E-07,1.31,0.0101,1.09,0.572,0.518
STAD,C8orf22,PCDH9,1.51,2.32E-05,1.11,0.0174,0.96,0.51,0.451
STAD,C8orf22,PKD1L1,1.52,8.82E-06,1.17,0.00494,1.127,0.53,0.597
STAD,C8orf22,POU6F2,1.65,4.30E-07,1.33,0.00168,1.262,0.567,0.696
STAD,C8orf22,PRR9,1.86,3.12E-07,1.5,0.00166,1.298,0.589,0.709
STAD,C8orf22,RXRG,1.64,2.43E-07,1.35,0.00111,1.262,0.532,0.731
STAD,C8orf22,TF,1.54,1.70E-06,1.24,0.00231,1.173,0.505,0.668
STAD,C8orf22,WNT16,1.63,1.93E-06,1.23,0.0109,1.037,0.527,0.51
STAD,C8orf4,GH2,1.66,5.60E-06,1.46,8.16E-05,1.632,0.611,1.021
STAD,C8orf4,LCE2D,2.28,0.000777,1.9,0.00306,1.718,0.619,1.099
